id,arabic,translate_id,narator,hadith_scholar,source,hadith_no,level_of_hadith
0,"فِي رِوَايَتِهِ ""إِذَا وَلَدَتِ الأَمَةُ بَعْلَهَا"" يَعْنِي السَّرَارِيّ","“Dalam riwayat lain, ""... ketika para al-amatu melahirkan tuannya"", al-amatu maksudnya para budak wanita yang digauli.”",Abu Hurairah,Muslim bin Hajjaj,Shahih Muslim,6,Shahih
1,عَنْ يَحْيَى بْنِ يَعْمَرَ، عَنِ ابْنِ عُمَرَ، عَنْ عُمَرَ، عَنِ النَّبِيِّ صَلَّى اللَّهُ عليه وسلم، بنحو حديثهم,"“Dari Yahya bin Ya'mar dari Ibnu Umar, dari Umar radhiallahu'anhu, dari Nabi Shallallahu'alaihi Wasallam, sama dengan hadits sebelumnya.”",Abdullah bin Umar,Muslim bin Hajjaj,Shahih Muslim,4,Shahih
2,عن يحيى بن يَعْمَرَ، وَحُمَيْدِ بْنِ عَبْدِ الرَّحْمَنِ؛ قَالَا: لَقِينَا عَبْدَ اللَّهِ بْنَ عُمَرَ. فَذَكَرْنَا الْقَدَرَ وَمَا يَقُولُونَ فِيهِ. فَاقْتَصَّ الْحَدِيثَ كَنَحْوِ حَدِيثِهِمْ. عَنْ عُمَرَ رَضِيَ اللَّهُ عَنْهُ، عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ، وَفِيهِ شَيْءٌ مِنْ زِيَادَةٍ، وَقَدْ نَقَصَ مِنْهُ شَيْئًا,"“Dari Yahya bin Ya'mar dan Humaid bin 'Abdur-Rahman keduanya berkata: ""Kami bertemu dengan Abdullah bin Umar, dan kami bertanya tentang masalah takdir dan keyakinan para pengikut Ma'bad Al Juhani dalam masalah takdir"". Kemudian Yahya bin Ya'mar menyebutkan hadits yang sama dengan hadits sebelumnya, dari Umar radhiallahu'anhu, dari Nabi Shallallahu'alaihi Wasallam. Dengan beberapa tambahan dan pengurangan di dalamnya.”",Abdullah bin Umar,Muslim bin Hajjaj,Shahih Muslim,3,Shahih
3,عَنْ يَحْيَى بْنِ يَعْمَرَ قَالَ لَمَّا تَكَلَّمَ مَعْبَدٌ بِمَا تَكَلَّمَ بِهِ فِي شَأْنِ الْقَدَرِ أَنْكَرْنَا ذَلِكَ قَالَ فَحَجَجْتُ أَنَا وَحُمَيْدُ بْنُ عَبْدِ الرَّحْمَنِ الْحِمْيَرِيُّ حَجَّةً وَسَاقُوا الْحَدِيثَ بِمَعْنَى حَدِيثِ كَهْمَسٍ وَإِسْنَادِهِ وَفِيهِ بَعْضُ زِيَادَةٍ وَنُقْصَانُ أَحْرُفٍ,"“Yahya bin Ya'mar berkata: ""Ketika Ma'bad mulai berbicara tentang takdir, kami pun mengingkari hal itu. Ketika aku dan Humaid bin 'Abdur-Rahman Al-Himyari pergi untuk Haji ..."" redaksi hadits sama dengan hadits sebelumnya secara makna dan sanad. Dengan beberapa tambahan dan pengurangan di dalamnya.”",Abdullah bin Umar,Muslim bin Hajjaj,Shahih Muslim,2,Shahih
4,كَانَ أَوَّلَ مَنْ قَالَ فِي الْقَدَرِ بِالْبَصْرَةِ مَعْبَدٌ الْجُهَنِيُّ، فَانْطَلَقْتُ أَنَا وَحُمَيْدُ بْنُ عَبْدِ الرَّحْمَنِ الْحِمْيَرِيُّ حَاجَّيْنِ – أَوْ مُعْتَمِرَيْنِ – فَقُلْنَا: لَوْ لَقِينَا أَحَدًا مَنْ أَصْحَابِ رَسُولِ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، فَسَأَلْنَاهُ عَمَّا يَقُولُ هَؤُلَاءِ فِي الْقَدَرِ، فَوُفِّقَ لَنَا عَبْدُ اللهِ بْنُ عُمَرَ بْنِ الْخَطَّابِ دَاخِلًا الْمَسْجِدَ، فَاكْتَنَفْتُهُ أَنَا وَصَاحِبِي أَحَدُنَا عَنْ يَمِينِهِ، وَالْآخَرُ عَنْ شِمَالِهِ، فَظَنَنْتُ أَنَّ صَاحِبِي سَيَكِلُ الْكَلَامَ إِلَيَّ، فَقُلْتُ [ص:37]: أَبَا عَبْدِ الرَّحْمَنِ إِنَّهُ قَدْ ظَهَرَ قِبَلَنَا نَاسٌ يَقْرَءُونَ الْقُرْآنَ، وَيَتَقَفَّرُونَ الْعِلْمَ، وَذَكَرَ مِنْ شَأْنِهِمْ، وَأَنَّهُمْ يَزْعُمُونَ أَنْ لَا قَدَرَ، وَأَنَّ الْأَمْرَ أُنُفٌ، قَالَ: «فَإِذَا لَقِيتَ أُولَئِكَ فَأَخْبِرْهُمْ أَنِّي بَرِيءٌ مِنْهُمْ، وَأَنَّهُمْ بُرَآءُ مِنِّي»، وَالَّذِي يَحْلِفُ بِهِ عَبْدُ اللهِ بْنُ عُمَرَ «لَوْ أَنَّ لِأَحَدِهِمْ مِثْلَ أُحُدٍ ذَهَبًا، فَأَنْفَقَهُ مَا قَبِلَ اللهُ مِنْهُ حَتَّى يُؤْمِنَ بِالْقَدَرِ» ثُمَّ قَالَ: حَدَّثَنِي أَبِي عُمَرُ بْنُ الْخَطَّابِ قَالَ: بَيْنَمَا نَحْنُ عِنْدَ رَسُولِ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ ذَاتَ يَوْمٍ، إِذْ طَلَعَ عَلَيْنَا رَجُلٌ شَدِيدُ بَيَاضِ الثِّيَابِ، شَدِيدُ سَوَادِ الشَّعَرِ، لَا يُرَى عَلَيْهِ أَثَرُ السَّفَرِ، وَلَا يَعْرِفُهُ مِنَّا أَحَدٌ، حَتَّى جَلَسَ إِلَى النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، فَأَسْنَدَ رُكْبَتَيْهِ إِلَى رُكْبَتَيْهِ، وَوَضَعَ كَفَّيْهِ عَلَى فَخِذَيْهِ، وَقَالَ: يَا مُحَمَّدُ أَخْبِرْنِي عَنِ الْإِسْلَامِ، فَقَالَ رَسُولُ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «الْإِسْلَامُ أَنْ تَشْهَدَ أَنْ لَا إِلَهَ إِلَّا اللهُ وَأَنَّ مُحَمَّدًا رَسُولُ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، وَتُقِيمَ الصَّلَاةَ، وَتُؤْتِيَ الزَّكَاةَ، وَتَصُومَ رَمَضَانَ، وَتَحُجَّ الْبَيْتَ إِنِ اسْتَطَعْتَ إِلَيْهِ سَبِيلًا»، قَالَ: صَدَقْتَ، قَالَ: فَعَجِبْنَا لَهُ يَسْأَلُهُ، وَيُصَدِّقُهُ، قَالَ: فَأَخْبِرْنِي عَنِ الْإِيمَانِ، قَالَ: «أَنْ تُؤْمِنَ بِاللهِ، وَمَلَائِكَتِهِ، وَكُتُبِهِ، وَرُسُلِهِ، وَالْيَوْمِ الْآخِرِ، وَتُؤْمِنَ بِالْقَدَرِ خَيْرِهِ وَشَرِّهِ»، قَالَ: صَدَقْتَ، قَالَ: فَأَخْبِرْنِي عَنِ الْإِحْسَانِ، قَالَ: «أَنْ تَعْبُدَ اللهَ كَأَنَّكَ تَرَاهُ، فَإِنْ لَمْ تَكُنْ تَرَاهُ فَإِنَّهُ يَرَاكَ»، قَالَ: فَأَخْبِرْنِي عَنِ السَّاعَةِ، قَالَ: «مَا الْمَسْئُولُ عَنْهَا بِأَعْلَمَ مِنَ السَّائِلِ» قَالَ: فَأَخْبِرْنِي عَنْ أَمَارَتِهَا، قَالَ: «أَنْ تَلِدَ الْأَمَةُ رَبَّتَهَا، وَأَنْ تَرَى الْحُفَاةَ الْعُرَاةَ الْعَالَةَ رِعَاءَ الشَّاءِ يَتَطَاوَلُونَ فِي الْبُنْيَانِ»، قَالَ: ثُمَّ انْطَلَقَ فَلَبِثْتُ مَلِيًّا، ثُمَّ قَالَ لِي: «يَا عُمَرُ أَتَدْرِي مَنِ السَّائِلُ؟» قُلْتُ: اللهُ وَرَسُولُهُ أَعْلَمُ، قَالَ: فَإِنَّهُ جِبْرِيلُ أَتَاكُمْ يُعَلِّمُكُمْ دِينَكُمْ,"“Orang yang pertama kali membahas takdir di Bashrah adalah Ma'bad al-Juhani, maka aku dan Humaid bin Abdurrahman al-Himyari bertolak haji atau umrah, maka kami berkata, 'Seandainya kami bertemu dengan salah seorang sahabat Rasulullah shallallahu 'alaihi wasallam, maka kami akan bertanya kepadanya tentang sesuatu yang mereka katakan berkaitan dengan takdir.' Maka [Abdullah bin Umar] diberikan taufik (oleh Allah) untuk kami, sedangkan dia masuk masjid. Lalu aku dan temanku menghadangnya. Salah seorang dari kami di sebelah kanannya dan yang lain di sebelah kirinya. Lalu aku mengira bahwa temanku akan mewakilkan pembicaraan kepadaku, maka aku berkata, 'Wahai Abu Abdurrahman, sesungguhnya nampak di hadapan kami suatu kaum membaca al-Qur'an dan mencari ilmu lalu mengklaim bahwa tidak ada takdir, dan perkaranya adalah baru (tidak didahului oleh takdir dan ilmu Allah).' Maka [Abdullah bin Umar] menjawab, 'Apabila kamu bertemu orang-orang tersebut, maka kabarkanlah kepada mereka bahwa saya berlepas diri dari mereka, dan bahwa mereka berlepas diri dariku. Dan demi Dzat yang mana hamba Allah bersumpah dengan-Nya, kalau seandainya salah seorang dari kalian menafkahkan emas seperti gunung Uhud, niscaya sedekahnya tidak akan diterima hingga dia beriman kepada takdir baik dan buruk.' Dia berkata, 'Kemudian dia mulai menceritakan hadits seraya berkata, ['Umar bin al-Khaththab] berkata, 'Dahulu kami pernah berada di sisi Rasulullah shallallahu 'alaihi wasallam, lalu datanglah seorang laki-laki yang bajunya sangat putih, rambutnya sangat hitam, tidak tampak padanya bekas-bekas perjalanan. Tidak seorang pun dari kami mengenalnya, hingga dia mendatangi Nabi Shallallahu 'Alaihi Wasalam lalu menyandarkan lututnya pada lutut Nabi Shallallahu 'Alaihi Wasalam, kemudian ia berkata, 'Wahai Muhammad, kabarkanlah kepadaku tentang Islam? ' Rasulullah Shallallahu 'Alaihi Wasalam menjawab: ""Kesaksian bahwa tidak ada tuhan (yang berhak disembah) selain Allah dan bahwa Muhammad adalah hamba dan utusan-Nya, mendirikan shalat, menunaikan zakat, dan puasa Ramadlan, serta haji ke Baitullah jika kamu mampu bepergian kepadanya.' Dia berkata, 'Kamu benar.' Umar berkata, 'Maka kami kaget terhadapnya karena dia menanyakannya dan membenarkannya.' Dia bertanya lagi, 'Kabarkanlah kepadaku tentang iman itu? ' Beliau menjawab: ""Kamu beriman kepada Allah, malaikat-malaikat-Nya, kitab-kitab-Nya, para Rasul-Nya, hari akhir, dan takdir baik dan buruk."" Dia berkata, 'Kamu benar.' Dia bertanya, 'Kabarkanlah kepadaku tentang ihsan itu? ' Beliau menjawab: ""Kamu menyembah Allah seakan-akan kamu melihat-Nya, maka jika kamu tidak melihat-Nya, maka sesungguhnya Dia melihatmu."" Dia bertanya lagi, 'Kapankah hari akhir itu? ' Beliau menjawab: ""Tidaklah orang yang ditanya itu lebih mengetahui daripada orang yang bertanya."" Dia bertanya, 'Lalu kabarkanlah kepadaku tentang tanda-tandanya? ' Beliau menjawab: ""Apabila seorang budak melahirkan (anak) tuan-Nya, dan kamu melihat orang yang tidak beralas kaki, telanjang, miskin, penggembala kambing, namun bermegah-megahan dalam membangun bangunan."" Kemudian dia bertolak pergi. Maka aku tetap saja heran kemudian beliau berkata; ""Wahai Umar, apakah kamu tahu siapa penanya tersebut?"" Aku menjawab, 'Allah dan Rasul-Nya lebih tahu.' Beliau bersabda: ""Itulah jibril, dia mendatangi kalian untuk mengajarkan kepada kalian tentang pengetahuan agama kalian'”",Abdullah bin Umar,Muslim bin Hajjaj,Shahih Muslim,1,Shahih
5,إذا تبًايعتم بًالعينة وأخذتم أذناب البقر ، ورضيتم بًالزرع ، وتركتم الجهاد سلط الله عليكم ذلا لا ينزعه حتى ترجعوا إلى دينكم,"“Jika kalian berjual beli dengan sistem inah (riba), dan kalian berpegang pada ekor-ekor sapi, dan kalian ridha para pertanian, sehingga kalian tinggalkan jihad, maka Allah akan timpakan kehinaan pada diri kalian, hingga kalian kembali pada agama kalian”",Abdullah bin Umar,Muhammad Nashiruddin Al Albani,As Silsilah Al Ahadits Ash Shahihah,11,Shahih dengan seluruh jalannya
6,عَنْ أَبِي أُمَامَةَ البَاهِلِيِّ، قَالَ: وَرَأَى سِكَّةً وَشَيْئًا مِنْ آلَةِ الحَرْثِ، فَقَالَ: سَمِعْتُ النَّبِيَّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يَقُولُ: «لاَ يَدْخُلُ هَذَا بَيْتَ قَوْمٍ إِلَّا أَدْخَلَهُ اللَّهُ الذُّلَّ»,"“Dari Abu Umamah Al Bahili, beliau berkata, ketika ia melihat mata bajak dan alat-alat pertanian: aku pernah mendengar Nabi Shallallahu’alaihi Wasallam bersabda: “tidaklah alat-alat ini masuk ke dalam rumah sebuah kaum kecuali Allah akan masukkan kehinaan kepada mereka“”",Abu Umamah Al Bahili,Al Bukhari,Shahih Al Bukhari,2321,Shahih
7,عَنْ أَبِي أُمَامَةَ البَاهِلِيِّ، قَالَ: وَرَأَى سِكَّةً وَشَيْئًا مِنْ آلَةِ الحَرْثِ، فَقَالَ: سَمِعْتُ النَّبِيَّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يَقُولُ: «لاَ يَدْخُلُ هَذَا بَيْتَ قَوْمٍ إِلَّا أَدْخَلَهُ اللَّهُ الذُّلَّ»,"“Dari Abu Umamah Al Bahili, beliau berkata, ketika ia melihat mata bajak dan alat-alat pertanian: aku pernah mendengar Nabi Shallallahu’alaihi Wasallam bersabda: “tidaklah alat-alat ini masuk ke dalam rumah sebuah kaum kecuali Allah akan masukkan kehinaan kepada mereka“”",Abu Umamah Al Bahili,Muhammad Nashiruddin Al Albani,As Silsilah Al Ahadits Ash Shahihah,10,Shahih
8,إذا أتَيْتُمُ الغائِطَ، فلا تَستَقبِلُوا القِبْلَةَ بِغائِطٍ ولا بَوْلٍ، ولا تَستدْبِرُوها، ولكِنْ شَرَّقُوا أَو غَرَّبُوا,"“Jika kalian masuk ke kamar mandi, maka janganlah menghadap kiblat ketika buang air besar atau buang air kecil. Dan jangan membelakanginya. Namun menghadapkan ke arah timur atau ke arah barat!”",Abu Ayyub Al Anshari,Muhammad Nashiruddin Al Albani,Shahih At Tirmidzi,8,Shahih
9,إذا أتَيْتُمُ الغائِطَ، فلا تَستَقبِلُوا القِبْلَةَ بِغائِطٍ ولا بَوْلٍ، ولا تَستدْبِرُوها، ولكِنْ شَرَّقُوا أَو غَرَّبُوا,"“Jika kalian masuk ke kamar mandi, maka janganlah menghadap kiblat ketika buang air besar atau buang air kecil. Dan jangan membelakanginya. Namun menghadapkan ke arah timur atau ke arah barat!”",Abu Ayyub Al Anshari,Abu Isa At Tirmidzi,Sunan At Tirmidzi,8,Hadits Abu Ayyub ini adalah hadits yang paling bagus dan paling shahih dalam bab ini
